poiId,frontImg,title,avgScore,allCommentNum,address,avgPrice
161059585,http://p0.meituan.net/600.600/mogu/0897c57a7c1034519be2da0f406c22f086258.jpg,皇记寿乡人野鱼野菜馆,4.2,2030,南山区南新路欢乐颂购物中心5楼原巜寿乡人野鱼野菜馆》中山公园店,61
5666287,http://p1.meituan.net/600.600/bbia/989d694526b1b534683365ecead0e14c65719.jpg,香港新君豪烧腊茶餐厅,4.2,8007,南山区常兴路148-152号（常兴天虹广场旁边）,50
5577010,https://img.meituan.net/600.600/msmerchant/5706b3dd856cc5d476f62dc98ddfdd63114004.jpg,木屋烧烤（南新店）,4.2,1001,南山区南山南头街丽乐美居C栋103号（海晖东江旁）,59
2521994,https://img.meituan.net/600.600/msmerchant/681eeb76cf7bf0de800ceb4e747df4ce123835.jpg,平兴蛋糕屋,4.2,4060,南山区桃园路大新新村87号（大新地铁站A出口）,0
95342448,https://img.meituan.net/600.600/msmerchant/7047de9139a5aa6a2ea81413c7d7532138039.jpg,HEY YO喜乳酪（欢乐颂购物中心店）,4.2,304,南山区南新路3020号欢乐颂购物中心1层,28
160152476,http://p1.meituan.net/600.600/merchantpic/9b14258505aba493d45fe73849c0734220030.png,正新鸡排（欢乐颂店）,4.2,215,南山区南新路3083-1号,14
164043307,https://img.meituan.net/600.600/msmerchant/c086ddf29797243c4380d3834b51dd9f193613.jpg,新楚记烧烤（南山店）,4.3,42,南山区南头街100-17旺海怡苑1层,82
160174571,https://img.meituan.net/600.600/msmerchant/7894eb099f19bd30bad1027a053d7e8c47092.jpg,Xalapa墨西哥餐厅,4.2,295,南山区前海路星海名城三期9栋外围商铺一楼,82
166042850,http://p1.meituan.net/600.600/mogu/5774ec42402bdf5dc7edb8a7c9d64b08123399.jpg,两只猫咖啡馆,4.2,12,南山区前海路荷兰花卉小镇B区4A号,46
50931163,http://p1.meituan.net/600.600/apiback/2d45cdc1a5fe709471e8f3c450523c6d101045.jpg,威记肠粉王（钰龙园分店）,4.2,669,南山区南新路英达钰龙园B11号,11
52862809,http://p0.meituan.net/600.600/deal/c8e2088ff0a4cce24a7296140d1c1af969450.jpg,莱茵河茶餐厅,4.2,90,南山区中山南街1坊43号（南头中学东行）,24
67741743,https://img.meituan.net/600.600/msmerchant/cf2c763d9ca97450b347dda7ac2d909f1242079.jpg,八合里海记（南头店）,4.1,4405,南山区南头街279号（近南头街道社区服务中心）,71
2476383,http://p1.meituan.net/600.600/apiback/47a8e8e58a7e895693bc6d3a43d4ab2a262962.jpg,圣淘沙酒店西餐厅（翡翠店）,4.1,1436,南山区金鸡路田厦翡翠明珠3栋,164
159148314,https://img.meituan.net/600.600/msmerchant/3ec0e341f3e164839590ecb4549ac5b630682.jpg,今道春饼·烤鸭（南山桃园店）,4,1049,南山区金鸡路7号七巧国C3号,59
1781133,http://p0.meituan.net/600.600/dealwatera/0d30ec5e9888a52c3cdad8dc6fb80def189686.jpg,祥和明兴清远鸡煲,4.1,286,南山区南头街旺海怡苑商铺32号,57
165094859,https://img.meituan.net/600.600/msmerchant/da2155a033c909c5225f62ae1c12a8ab11168.png,撸天下烧烤（南头店）,4.1,205,南山区南头街315号（大新小学旁）,81
190772572,https://img.meituan.net/600.600/msmerchant/ddcb27ccd375c094737fc4f02327050872539.jpg,雪满天大地锅（大新店）,4.1,70,南山区前海路3168号大新前海商业中心2楼204B,69
91591276,http://p1.meituan.net/600.600/xianfu/7e343272c27d8921c97b86ea573b0603400131.jpg,秋色客家王,4.1,258,南山区南头街道麒麟路西侧麒麟花园A区12栋B1B2一楼6号,49
150337976,http://p1.meituan.net/600.600/deal/6866d1de6a98e14ed139662fc386f9db36130.jpg,1978饮品店,4.1,75,南山区桃园路223-7号（7天酒店对面）,27
90343000,http://p1.meituan.net/600.600/mogu/6eebfea47b99a4f4019554334ea5e06d33037.jpg,一品锅麻辣香锅,4.1,62,南山区南新路大新旺角美食街2楼（南山欢乐颂对面）,28
40501354,https://img.meituan.net/600.600/msmerchant/65653bb1fbf7cdad0a9d4ea663d6f1921563848.jpg,潮盛白粥（南头店）,4.1,10,南山区南头街297号,60
96620785,http://p0.meituan.net/600.600/bbia/a7e1b6848cc0b5306791b9bea030ab4d114551.jpg,Who乎coffee&bar,4.1,89,南山区南山大道南山文体中心,40
193805835,https://img.meituan.net/600.600/msmerchant/1fd6234e7e92922c13926be6f33dc6ba127759.jpg,念糖归（1956数字文化创意园分店）,4.1,7,南山区关口路1956数字文化创意园10栋106,21
42710219,https://img.meituan.net/600.600/msmerchant/6efafd85d85bcf83975e5c9230b843751936571.jpg,同仁四季（南山LOFT店）,4,17318,南山区金鸡路1号田厦翡翠明珠1楼C5室（近圣淘沙酒店翡翠店）,90
177413921,https://img.meituan.net/600.600/msmerchant/852b316e6b627d6f2ce44d0f3e4c40b0264399.jpg,胖哥俩肉蟹煲（欢乐颂店）,4,367,南山区南新路3030号欢乐颂商城4楼F421（直升电梯旁）,67
67385393,https://img.meituan.net/600.600/msmerchant/6a8e049aa13045a66529d96d29aa507784293.png,海大大蒸汽海鲜主题餐厅（欢乐颂店）,3.9,1198,南山区金鸡路34号四季丽晶大厦二楼（南新路欢乐颂麦当劳旁）,121
95643730,https://img.meituan.net/600.600/msmerchant/05784081b1ed0587e4ea65172a76ef7114438.jpg,CoCo都可（南头店）,4,450,南山区南头街265号大新旺角商场1楼66号铺位,13
94948800,http://p1.meituan.net/600.600/bbia/a07a98b9d0ab0cd468ecabd4e3eed2c0392089.png,海之恋寿司（南头店）,4.1,247,南山区深南大道东方新地苑A座1楼102商铺（南头中学对面海岸时代公寓东门旁）,55
193497694,https://img.meituan.net/600.600/msmerchant/fb0e1a19cbe9298ada49b1d7ff5a99d81878602.jpg,77湘味（桃园店）,4.2,45,南山区桃园路8号田厦金牛广场负二楼05,68
5851986,http://p1.meituan.net/600.600/poi/6b3a4ffd2e3e9243c4b470e8005a2ddd124928.jpg,阳江海鲜大排档,4,52,南山区南山大道南头城天主教堂路口（南头城幼儿园旁）,99
69834671,http://p1.meituan.net/600.600/deal/69de1a6439a5830a956eb664ad419c80237254.jpg,一品烧烤屋（南山大道中山苑店）,4.1,138,南山区南山大道3118号，紧邻中山苑，阳光雅苑小区对面,47
